index,source,label,score
0,human,0,-3.1790432222163063
1,human,0,-0.36913570942043766
2,human,0,-0.07649388805249585
3,human,0,-3.474045344304859
4,human,0,-3.8374752105708336
5,human,0,-1.7871621189013427
6,human,0,0.9553984323927278
7,human,0,-4.153419904175262
8,human,0,-4.028635404287605
9,human,0,-2.007953761378415
10,human,0,-3.360596034665393
11,human,0,-2.2619741491267837
12,human,0,-0.7920447293656354
13,human,0,-4.20034581660876
14,human,0,-3.7693647779010906
15,human,0,-4.583857998155477
16,human,0,-4.525082765767966
17,human,0,-1.7152479077602796
18,human,0,-4.976450908647896
19,human,0,-0.6008797336154288
20,human,0,-2.638638525659636
21,human,0,-6.242515463291607
22,human,0,-3.917191172488184
23,human,0,-4.89732686109201
24,human,0,-3.001599280346346
25,human,0,-0.3903911233978604
26,human,0,0.3180767542719293
27,human,0,-2.7565827017183486
28,human,0,-2.9566670540321294
29,human,0,-3.664282636738896
30,human,0,-6.074910975850045
31,human,0,-3.74140676821188
32,human,0,0.8107834406467029
33,human,0,0.1766484230957699
34,human,0,-2.6277073954003414
35,human,0,-1.0794538994680756
36,human,0,-5.13786628801947
37,human,0,-2.901215390764914
38,human,0,-2.0350424228751716
39,human,0,-1.3761380759876682
40,human,0,-1.5192328166662183
41,human,0,-3.5444243891069465
42,human,0,-1.2970100472365387
43,human,0,-3.9779247276768035
44,human,0,-4.237653405780261
45,human,0,-4.143982547298938
46,human,0,-7.054206564498445
47,human,0,-3.0352462575198524
48,human,0,-3.05654857035542
49,human,0,-6.0676729924029065
50,human,0,-3.909962118535187
51,human,0,-2.160040132497937
52,human,0,-5.942406598968013
53,human,0,-5.926673362057846
54,human,0,-5.649599386313245
55,human,0,-4.404964762469641
56,human,0,-3.058495737688712
57,human,0,-3.3327164178762927
58,human,0,-2.048110507284406
59,human,0,-2.6524418896955786
60,human,0,-3.614489030973363
61,human,0,-1.6279256516121705
62,human,0,0.262712184633515
63,human,0,-0.09988274468401417
64,human,0,-1.7415344132990278
65,human,0,-1.1900277855192254
66,human,0,-2.460207712033745
67,human,0,-4.47697576835186
