index,source,label,score
0,human,0,-3.886520239409953
1,human,0,-0.594494009848971
2,human,0,0.17136341602560556
3,human,0,-3.1696515522468056
4,human,0,-3.4817374833701216
5,human,0,-2.312742524608396
6,human,0,0.8834889149889067
7,human,0,-4.084271135546405
8,human,0,-4.059649414859873
9,human,0,-2.055052694488638
10,human,0,-2.3782605973904736
11,human,0,-1.8769600854746442
12,human,0,-1.109859998809154
13,human,0,-3.9705875071911634
14,human,0,-3.902751273670917
15,human,0,-4.9487834065724225
16,human,0,-4.13177161225331
17,human,0,-1.45661304457163
18,human,0,-5.411122409014477
19,human,0,-0.516936772118828
20,human,0,-2.7478325189810073
21,human,0,-6.003387735636072
22,human,0,-3.490824109190589
23,human,0,-4.460155876574244
24,human,0,-2.8332021653904373
25,human,0,0.12717108009056555
26,human,0,0.39238422416120144
27,human,0,-2.505867186563219
28,human,0,-2.6362422928986216
29,human,0,-3.3798373171297666
30,human,0,-6.360957235084599
31,human,0,-3.459194050340692
32,human,0,1.3060785310726948
33,human,0,0.44022631296810066
34,human,0,-3.095751051783434
35,human,0,-1.2034987169733296
36,human,0,-5.187691525399324
37,human,0,-1.8109265461290434
38,human,0,-1.7412748022459983
39,human,0,-1.487603556108503
40,human,0,-1.3630744460398985
41,human,0,-2.7227463803005136
42,human,0,-1.7098766133024437
43,human,0,-4.5017807458111525
44,human,0,-4.689577159771854
45,human,0,-3.564545171198476
46,human,0,-7.743118582552618
47,human,0,-2.7229062251084337
48,human,0,-3.419010518284799
49,human,0,-5.326632680679174
50,human,0,-3.560859543115432
51,human,0,-2.420462458070436
52,human,0,-5.664381957335706
53,human,0,-6.010731216294525
54,human,0,-6.425605668365098
55,human,0,-4.423536377733138
56,human,0,-2.4608051945529037
57,human,0,-3.9161374719431694
58,human,0,-1.8077122117445892
59,human,0,-2.959771207590341
60,human,0,-3.614663972031069
61,human,0,-0.8919208493278825
62,human,0,0.5049489152018346
63,human,0,0.19950851993855234
64,human,0,-1.424194851950228
65,human,0,-1.123573160681406
66,human,0,-2.1284637007310354
67,human,0,-4.345731938022382
68,human,0,-5.471448635695747
69,human,0,-4.840346348858192
70,human,0,-6.486806221524873
71,human,0,-1.9595701356363424
72,human,0,-2.7534412981787937
73,human,0,-1.8745102690649957
74,human,0,-7.967095555934761
75,human,0,-6.306598490314606
76,human,0,-4.729144099231743
77,human,0,-0.15127161743685213
78,human,0,-5.077826972988365
79,human,0,-0.6436902855421
80,human,0,-2.8075145274937667
81,human,0,-7.2644783067679475
82,human,0,-1.9218944743085906
83,human,0,-3.825127858209448
84,human,0,-5.247121028741746
